Sira Sayisi,Hasta Sayisi
1,404
2,478
3,461
4,462
5,522
6,510
7,431
8,390
9,470
10,477
11,498
12,550
13,565
14,429
15,409
16,494
17,497
18,509
19,548
20,532
21,428
22,454
23,503
24,561
25,563
26,558
27,557
28,495
29,482
30,542
31,552
32,563
33,586
34,602
35,596
36,582
37,605
38,656
39,673
40,681
41,693
42,702
43,710
44,835
45,846
46,856
47,902
48,916
49,923
50,920
51,1.084
52,1.102
53,1.217
54,1.496
55,1.582
56,1.734
57,2.102
58,2.178
59,2.210
60,2.401
61,2.414
62,2.483
63,2.501
64,2.587
65,2.615
66,2.673
67,2.715
68,2.728
69,2.703
70,2.716
71,2.801
72,2.905
73,3.089
74,3.128
75,2.932
76,2.895
77,2.862
78,3.101
79,2.973
80,2.915
81,2.845
82,2.802
83,2.723
84,2.671
85,2.548
86,2.497
87,2.408
88,2.316
89,2.203
90,2.003
91,1.706
92,1.508
93,1.483
94,1.471
95,1.424
96,1.401
97,1.376
98,1.325
99,1.305
100,1.281
101,1.253
102,1.210
103,1.142
104,1.006
105,981
106,965
107,958
108,934
109,902
110,869
111,874
112,858
113,852
114,841
115,834
116,821
117,814
118,801
119,767
120,735
121,702
122,698
123,685
124,689
125,668
126,645
127,610
128,621
129,649
130,658
131,660
132,633
133,623
134,601
135,635
136,638
137,640
138,649
139,658
140,660
141,666
142,671
143,667
144,660
145,664
146,659
147,632
148,623
149,618
150,620
151,627
152,632
153,630
154,636
155,641
156,658
157,664
158,670
159,675
160,681
161,671
162,684
163,723
164,734
165,743
166,752
167,761
168,749
169,803
170,902
171,921
172,958
173,971
174,983
175,1.003
176,1.017
177,1.103
178,1.291
179,1.370
180,1.458
181,1.477
182,1.508
183,1.515
184,1.713
185,1.908
186,2.219
187,2.612
188,2.783
189,2.816
190,2.806
191,3.002
192,3.199
193,3.218
194,3.192
195,3.309
196,3.412
197,3.546
198,4.002
199,4.103
200,4.209
201,4.893
202,5.105
203,5.064
204,5.103
205,5.203
206,5.607
207,5.918
208,6.213
209,6.593
210,6.420
211,6.093
212,6.128
213,6.903
214,6.511
215,6.690
216,6.101
217,6.514
218,6.439
219,6.714
220,6.592
221,6.876
222,6.814
